county_fips,year,commodity_desc,AREA HARVESTED,AREA PLANTED,PRODUCTION,YIELD,class_desc,prodn_practice_desc,util_practice_desc,cv_mean,yield_unit
5001,2010,CORN,6400.0,6500.0,1100000.0,171.9,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,BU / ACRE
5001,2010,RICE,127900.0,128000.0,9079000.0,7100.0,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,LB / ACRE
5001,2010,SOYBEANS,115066.66666666667,115400.0,4970666.666666667,35.833333333333336,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,BU / ACRE
5001,2010,WHEAT,10000.0,10900.0,635000.0,63.5,WINTER,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,BU / ACRE
5001,2011,CORN,22500.0,22700.0,3620000.0,160.9,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,BU / ACRE
5001,2011,RICE,92800.0,93000.0,6865000.0,7400.0,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,LB / ACRE
5001,2011,SOYBEANS,124133.33333333333,124333.33333333333,5504666.666666667,37.46666666666667,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,BU / ACRE
5001,2011,WHEAT,30500.0,32800.0,2015000.0,66.1,WINTER,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,BU / ACRE
5001,2012,CORN,38700.0,39200.0,7300000.0,188.6,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,BU / ACRE
5001,2012,RICE,91700.0,91700.0,7390000.0,8060.0,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,LB / ACRE
5001,2012,SOYBEANS,170700.0,171400.0,8654000.0,50.7,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,BU / ACRE
5001,2013,CORN,58500.0,58800.0,11640000.0,199.0,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,BU / ACRE
5001,2013,RICE,75700.0,76000.0,6100000.0,8060.0,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,LB / ACRE
5001,2013,SOYBEANS,167800.0,168500.0,8685000.0,51.8,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,,BU / ACRE
